e_s,p_x_0,p_y_0,p_z_0,t_0,t,u,v_x_0,v_y_0,v_z_0,w_x,w_y,p_x [O],p_y [O],p_z [O]
lx,m,m,m,s,s,K,m/s,m/s,m/s,m/s,m/s,m,m,m
HIT,1
1970,-9.9,5.7,1.2,35.30,35.40,20.1,9.2,-0.6,9.5,0.0,0.0,-9.0,5.7,2.0
1970,-9.9,5.7,1.2,35.30,35.50,20.1,9.2,-0.6,9.5,0.0,0.0,-8.2,5.6,2.8
1970,-9.9,5.7,1.2,35.30,35.60,20.1,9.2,-0.6,9.5,0.0,0.0,-7.3,5.6,3.4
1970,-9.9,5.7,1.2,35.30,35.70,20.1,9.2,-0.6,9.5,0.0,0.0,-6.5,5.5,3.9
1970,-9.9,5.7,1.2,35.30,35.80,20.1,9.2,-0.6,9.5,0.0,0.0,-5.8,5.5,4.3
1970,-9.9,5.7,1.2,35.30,35.90,20.1,9.2,-0.6,9.5,0.0,0.0,-5.1,5.4,4.6
1970,-9.9,5.7,1.2,35.30,36.00,20.1,9.2,-0.6,9.5,0.0,0.0,-4.4,5.4,4.7
1970,-9.9,5.7,1.2,35.30,36.10,20.1,9.2,-0.6,9.5,0.0,0.0,-3.7,5.3,4.8
1970,-9.9,5.7,1.2,35.30,36.20,20.1,9.2,-0.6,9.5,0.0,0.0,-3.0,5.3,4.7
1970,-9.9,5.7,1.2,35.30,36.30,20.1,9.2,-0.6,9.5,0.0,0.0,-2.4,5.3,4.6
1970,-9.9,5.7,1.2,35.30,36.40,20.1,9.2,-0.6,9.5,0.0,0.0,-1.8,5.2,4.4
1970,-9.9,5.7,1.2,35.30,36.50,20.1,9.2,-0.6,9.5,0.0,0.0,-1.3,5.2,4.1
1970,-9.9,5.7,1.2,35.30,36.60,20.1,9.2,-0.6,9.5,0.0,0.0,-0.7,5.2,3.7
1970,-9.9,5.7,1.2,35.30,36.70,20.1,9.2,-0.6,9.5,0.0,0.0,-0.2,5.1,3.2
1970,-9.9,5.7,1.2,35.30,36.80,20.1,9.2,-0.6,9.5,0.0,0.0,0.3,5.1,2.7
1970,-9.9,5.7,1.2,35.30,36.90,20.1,9.2,-0.6,9.5,0.0,0.0,0.8,5.1,2.0
1970,-9.9,5.7,1.2,35.30,37.00,20.1,9.2,-0.6,9.5,0.0,0.0,1.2,5.0,1.3
1970,-9.9,5.7,1.2,35.30,37.10,20.1,9.2,-0.6,9.5,0.0,0.0,1.6,5.0,0.6
HIT,2
2004,-12.1,-6.8,1.3,50.24,50.30,20.0,12.9,4.1,13.8,0.0,0.0,-11.3,-6.6,2.1
2004,-12.1,-6.8,1.3,50.24,50.40,20.0,12.9,4.1,13.8,0.0,0.0,-10.0,-6.2,3.3
2004,-12.1,-6.8,1.3,50.24,50.50,20.0,12.9,4.1,13.8,0.0,0.0,-8.9,-5.8,4.4
2004,-12.1,-6.8,1.3,50.24,50.60,20.0,12.9,4.1,13.8,0.0,0.0,-7.7,-5.4,5.3
2004,-12.1,-6.8,1.3,50.24,50.70,20.0,12.9,4.1,13.8,0.0,0.0,-6.7,-5.1,6.1
2004,-12.1,-6.8,1.3,50.24,50.80,20.0,12.9,4.1,13.8,0.0,0.0,-5.6,-4.8,6.7
2004,-12.1,-6.8,1.3,50.24,50.90,20.0,12.9,4.1,13.8,0.0,0.0,-4.7,-4.5,7.3
2004,-12.1,-6.8,1.3,50.24,51.00,20.0,12.9,4.1,13.8,0.0,0.0,-3.7,-4.2,7.7
2004,-12.1,-6.8,1.3,50.24,51.10,20.0,12.9,4.1,13.8,0.0,0.0,-2.8,-3.9,8.0
2004,-12.1,-6.8,1.3,50.24,51.20,20.0,12.9,4.1,13.8,0.0,0.0,-2.0,-3.6,8.2
2004,-12.1,-6.8,1.3,50.24,51.30,20.0,12.9,4.1,13.8,0.0,0.0,-1.1,-3.3,8.3
2004,-12.1,-6.8,1.3,50.24,51.40,20.0,12.9,4.1,13.8,0.0,0.0,-0.3,-3.1,8.2
2004,-12.1,-6.8,1.3,50.24,51.50,20.0,12.9,4.1,13.8,0.0,0.0,0.4,-2.9,8.1
2004,-12.1,-6.8,1.3,50.24,51.60,20.0,12.9,4.1,13.8,0.0,0.0,1.1,-2.6,7.9
2004,-12.1,-6.8,1.3,50.24,51.70,20.0,12.9,4.1,13.8,0.0,0.0,1.8,-2.4,7.6
2004,-12.1,-6.8,1.3,50.24,51.80,20.0,12.9,4.1,13.8,0.0,0.0,2.5,-2.2,7.3
2004,-12.1,-6.8,1.3,50.24,51.90,20.0,12.9,4.1,13.8,0.0,0.0,3.1,-2.0,6.8
2004,-12.1,-6.8,1.3,50.24,52.00,20.0,12.9,4.1,13.8,0.0,0.0,3.7,-1.8,6.3
2004,-12.1,-6.8,1.3,50.24,52.10,20.0,12.9,4.1,13.8,0.0,0.0,4.3,-1.6,5.7
2004,-12.1,-6.8,1.3,50.24,52.20,20.0,12.9,4.1,13.8,0.0,0.0,4.8,-1.4,5.0
