e_s,p_x_0,p_y_0,p_z_0,t_0,t,u,v_x_0,v_y_0,v_z_0,w_x,w_y,p_x [O],p_y [O],p_z [O]
lx,m,m,m,s,s,K,m/s,m/s,m/s,m/s,m/s,m,m,m
HIT,1
2043,-6.6,6.8,1.0,10.77,10.80,20.0,13.3,-1.6,11.0,0.0,0.0,-6.30,6.79,1.32
2043,-6.6,6.8,1.0,10.77,10.90,20.0,13.3,-1.6,11.0,0.0,0.0,-4.97,6.63,2.34
2043,-6.6,6.8,1.0,10.77,11.00,20.0,13.3,-1.6,11.0,0.0,0.0,-3.64,6.47,3.27
2043,-6.6,6.8,1.0,10.77,11.10,20.0,13.3,-1.6,11.0,0.0,0.0,-2.31,6.32,4.09
2043,-6.6,6.8,1.0,10.77,11.20,20.0,13.3,-1.6,11.0,0.0,0.0,-0.98,6.16,4.82
2043,-6.6,6.8,1.0,10.77,11.30,20.0,13.3,-1.6,11.0,0.0,0.0,0.35,6.00,5.45
2043,-6.6,6.8,1.0,10.77,11.40,20.0,13.3,-1.6,11.0,0.0,0.0,1.68,5.84,5.99
2043,-6.6,6.8,1.0,10.77,11.50,20.0,13.3,-1.6,11.0,0.0,0.0,3.01,5.69,6.42
2043,-6.6,6.8,1.0,10.77,11.60,20.0,13.3,-1.6,11.0,0.0,0.0,4.34,5.53,6.76
2043,-6.6,6.8,1.0,10.77,11.70,20.0,13.3,-1.6,11.0,0.0,0.0,5.68,5.37,7.00
2043,-6.6,6.8,1.0,10.77,11.80,20.0,13.3,-1.6,11.0,0.0,0.0,7.01,5.21,7.14
2043,-6.6,6.8,1.0,10.77,11.90,20.0,13.3,-1.6,11.0,0.0,0.0,8.34,5.06,7.18
2043,-6.6,6.8,1.0,10.77,12.00,20.0,13.3,-1.6,11.0,0.0,0.0,9.67,4.90,7.13
2043,-6.6,6.8,1.0,10.77,12.10,20.0,13.3,-1.6,11.0,0.0,0.0,11.00,4.74,6.98
2043,-6.6,6.8,1.0,10.77,12.20,20.0,13.3,-1.6,11.0,0.0,0.0,12.33,4.58,6.73
2043,-6.6,6.8,1.0,10.77,12.30,20.0,13.3,-1.6,11.0,0.0,0.0,13.66,4.43,6.38
2043,-6.6,6.8,1.0,10.77,12.40,20.0,13.3,-1.6,11.0,0.0,0.0,14.99,4.27,5.93
2043,-6.6,6.8,1.0,10.77,12.50,20.0,13.3,-1.6,11.0,0.0,0.0,16.32,4.11,5.39
HIT,2
2010,-11.1,-3.2,1.2,27.35,27.40,20.0,9.9,-2.6,10.6,0.0,0.0,-10.64,-3.34,1.69
2010,-11.1,-3.2,1.2,27.35,27.50,20.0,9.9,-2.6,10.6,0.0,0.0,-9.66,-3.59,2.65
2010,-11.1,-3.2,1.2,27.35,27.60,20.0,9.9,-2.6,10.6,0.0,0.0,-8.67,-3.85,3.51
2010,-11.1,-3.2,1.2,27.35,27.70,20.0,9.9,-2.6,10.6,0.0,0.0,-7.68,-4.11,4.27
2010,-11.1,-3.2,1.2,27.35,27.80,20.0,9.9,-2.6,10.6,0.0,0.0,-6.70,-4.37,4.93
2010,-11.1,-3.2,1.2,27.35,27.90,20.0,9.9,-2.6,10.6,0.0,0.0,-5.71,-4.62,5.50
2010,-11.1,-3.2,1.2,27.35,28.00,20.0,9.9,-2.6,10.6,0.0,0.0,-4.72,-4.88,5.96
2010,-11.1,-3.2,1.2,27.35,28.10,20.0,9.9,-2.6,10.6,0.0,0.0,-3.74,-5.14,6.33
2010,-11.1,-3.2,1.2,27.35,28.20,20.0,9.9,-2.6,10.6,0.0,0.0,-2.75,-5.40,6.60
2010,-11.1,-3.2,1.2,27.35,28.30,20.0,9.9,-2.6,10.6,0.0,0.0,-1.76,-5.65,6.78
2010,-11.1,-3.2,1.2,27.35,28.40,20.0,9.9,-2.6,10.6,0.0,0.0,-0.78,-5.91,6.85
2010,-11.1,-3.2,1.2,27.35,28.50,20.0,9.9,-2.6,10.6,0.0,0.0,0.21,-6.17,6.83
2010,-11.1,-3.2,1.2,27.35,28.60,20.0,9.9,-2.6,10.6,0.0,0.0,1.19,-6.43,6.71
2010,-11.1,-3.2,1.2,27.35,28.70,20.0,9.9,-2.6,10.6,0.0,0.0,2.18,-6.68,6.49
2010,-11.1,-3.2,1.2,27.35,28.80,20.0,9.9,-2.6,10.6,0.0,0.0,3.17,-6.94,6.17
2010,-11.1,-3.2,1.2,27.35,28.90,20.0,9.9,-2.6,10.6,0.0,0.0,4.15,-7.20,5.76
2010,-11.1,-3.2,1.2,27.35,29.00,20.0,9.9,-2.6,10.6,0.0,0.0,5.14,-7.45,5.24
2010,-11.1,-3.2,1.2,27.35,29.10,20.0,9.9,-2.6,10.6,0.0,0.0,6.13,-7.71,4.63
2010,-11.1,-3.2,1.2,27.35,29.20,20.0,9.9,-2.6,10.6,0.0,0.0,7.11,-7.97,3.92
