e_s,p_x_0,p_y_0,p_z_0,t_0,t,u,v_x_0,v_y_0,v_z_0,w_x,w_y,p_x [O],p_y [O],p_z [O]
lx,m,m,m,s,s,K,m/s,m/s,m/s,m/s,m/s,m,m,m
HIT,1
1998,-9.7,-1.7,1.1,12.44,12.50,20.0,11.7,-2.1,10.3,-7.2,7.3,-9.0,-1.8,1.7
1998,-9.7,-1.7,1.1,12.44,12.60,20.0,11.7,-2.1,10.3,-7.2,7.3,-8.0,-2.0,2.6
1998,-9.7,-1.7,1.1,12.44,12.70,20.0,11.7,-2.1,10.3,-7.2,7.3,-7.0,-2.1,3.3
1998,-9.7,-1.7,1.1,12.44,12.80,20.0,11.7,-2.1,10.3,-7.2,7.3,-6.0,-2.2,3.9
1998,-9.7,-1.7,1.1,12.44,12.90,20.0,11.7,-2.1,10.3,-7.2,7.3,-5.2,-2.3,4.4
1998,-9.7,-1.7,1.1,12.44,13.00,20.0,11.7,-2.1,10.3,-7.2,7.3,-4.4,-2.3,4.8
1998,-9.7,-1.7,1.1,12.44,13.10,20.0,11.7,-2.1,10.3,-7.2,7.3,-3.6,-2.3,5.1
1998,-9.7,-1.7,1.1,12.44,13.20,20.0,11.7,-2.1,10.3,-7.2,7.3,-3.0,-2.2,5.2
1998,-9.7,-1.7,1.1,12.44,13.30,20.0,11.7,-2.1,10.3,-7.2,7.3,-2.3,-2.2,5.3
1998,-9.7,-1.7,1.1,12.44,13.40,20.0,11.7,-2.1,10.3,-7.2,7.3,-1.8,-2.1,5.2
1998,-9.7,-1.7,1.1,12.44,13.50,20.0,11.7,-2.1,10.3,-7.2,7.3,-1.3,-1.9,5.1
1998,-9.7,-1.7,1.1,12.44,13.60,20.0,11.7,-2.1,10.3,-7.2,7.3,-0.8,-1.8,4.9
1998,-9.7,-1.7,1.1,12.44,13.70,20.0,11.7,-2.1,10.3,-7.2,7.3,-0.4,-1.6,4.6
1998,-9.7,-1.7,1.1,12.44,13.80,20.0,11.7,-2.1,10.3,-7.2,7.3,-0.1,-1.4,4.2
1998,-9.7,-1.7,1.1,12.44,13.90,20.0,11.7,-2.1,10.3,-7.2,7.3,0.2,-1.2,3.7
1998,-9.7,-1.7,1.1,12.44,14.00,20.0,11.7,-2.1,10.3,-7.2,7.3,0.5,-1.0,3.2
1998,-9.7,-1.7,1.1,12.44,14.10,20.0,11.7,-2.1,10.3,-7.2,7.3,0.7,-0.7,2.5
1998,-9.7,-1.7,1.1,12.44,14.20,20.0,11.7,-2.1,10.3,-7.2,7.3,0.9,-0.4,1.8
1998,-9.7,-1.7,1.1,12.44,14.30,20.0,11.7,-2.1,10.3,-7.2,7.3,1.0,-0.1,1.1
1998,-9.7,-1.7,1.1,12.44,14.40,20.0,11.7,-2.1,10.3,-7.2,7.3,1.1,0.2,0.3
HIT,2
2056,-5.3,1.5,1.2,53.52,53.60,19.9,9.7,3.4,13.2,-7.9,9.0,-4.6,1.7,2.1
2056,-5.3,1.5,1.2,53.52,53.70,19.9,9.7,3.4,13.2,-7.9,9.0,-3.7,2.1,3.3
2056,-5.3,1.5,1.2,53.52,53.80,19.9,9.7,3.4,13.2,-7.9,9.0,-2.9,2.5,4.3
2056,-5.3,1.5,1.2,53.52,53.90,19.9,9.7,3.4,13.2,-7.9,9.0,-2.2,2.9,5.1
2056,-5.3,1.5,1.2,53.52,54.00,19.9,9.7,3.4,13.2,-7.9,9.0,-1.5,3.3,5.8
2056,-5.3,1.5,1.2,53.52,54.10,19.9,9.7,3.4,13.2,-7.9,9.0,-0.8,3.8,6.4
2056,-5.3,1.5,1.2,53.52,54.20,19.9,9.7,3.4,13.2,-7.9,9.0,-0.3,4.2,6.9
2056,-5.3,1.5,1.2,53.52,54.30,19.9,9.7,3.4,13.2,-7.9,9.0,0.3,4.7,7.3
2056,-5.3,1.5,1.2,53.52,54.40,19.9,9.7,3.4,13.2,-7.9,9.0,0.7,5.2,7.6
2056,-5.3,1.5,1.2,53.52,54.50,19.9,9.7,3.4,13.2,-7.9,9.0,1.1,5.7,7.7
2056,-5.3,1.5,1.2,53.52,54.60,19.9,9.7,3.4,13.2,-7.9,9.0,1.5,6.2,7.8
2056,-5.3,1.5,1.2,53.52,54.70,19.9,9.7,3.4,13.2,-7.9,9.0,1.8,6.8,7.7
2056,-5.3,1.5,1.2,53.52,54.80,19.9,9.7,3.4,13.2,-7.9,9.0,2.1,7.3,7.6
2056,-5.3,1.5,1.2,53.52,54.90,19.9,9.7,3.4,13.2,-7.9,9.0,2.3,7.9,7.3
2056,-5.3,1.5,1.2,53.52,55.00,19.9,9.7,3.4,13.2,-7.9,9.0,2.5,8.5,7.0
HIT,3
2060,-12.2,-3.5,1.4,68.86,68.90,19.9,12.9,4.4,11.4,-7.1,9.0,-11.6,-3.3,1.9
2060,-12.2,-3.5,1.4,68.86,69.00,19.9,12.9,4.4,11.4,-7.1,9.0,-10.4,-2.8,2.9
